product,date,price,volume,best_bid,best_ask
BTC-USD,1637121867695,59066.46,0.00414796,59066.45,59066.46
BTC-USD,1637121867706,59066.46,0.00039585,59066.45,59066.46
BTC-USD,1637121867757,59066.46,0.01062582,59066.45,59066.47
BTC-USD,1637121867757,59066.47,0.1407,59066.45,59066.47
BTC-USD,1637121867757,59066.47,0.01696038,59066.45,59066.68
BTC-USD,1637121867757,59066.68,0.1911,59066.45,59078.58
BTC-USD,1637121867787,59078.58,0.00757316,59067.93,59083.37
BTC-USD,1637121867787,59083.37,0.00052339,59067.93,59083.37
BTC-USD,1637121867820,59083.37,0.00015157,59070.73,59083.37
BTC-USD,1637121868281,59085.16,0.0003941,59085.16,59085.17
BTC-USD,1637121868583,59085.16,0.00099917,59085.16,59085.17
BTC-USD,1637121868702,59085.17,0.00095999,59085.16,59085.17
BTC-USD,1637121868872,59085.17,0.0000842,59085.16,59085.17
BTC-USD,1637121869150,59085.17,0.00163374,59085.16,59085.17
BTC-USD,1637121869228,59085.16,0.08250673,59085.16,59085.17
BTC-USD,1637121869228,59085.16,0.02144509,59085.16,59085.17
BTC-USD,1637121869424,59085.17,0.00163355,59085.16,59085.17
BTC-USD,1637121869427,59085.17,0.01010431,59085.16,59085.17
BTC-USD,1637121870126,59085.17,0.01659184,59085.16,59085.17
BTC-USD,1637121870181,59085.17,0.00003361,59085.16,59085.17
BTC-USD,1637121870535,59085.17,0.00004978,59085.16,59085.17
BTC-USD,1637121870719,59085.17,0.003,59085.16,59085.17
BTC-USD,1637121870780,59085.17,0.01689093,59085.16,59085.17
BTC-USD,1637121870823,59085.17,0.01659184,59085.16,59085.17
BTC-USD,1637121870861,59085.17,0.00032841,59085.16,59085.17
BTC-USD,1637121871024,59085.17,0.06256931,59085.16,59085.17
BTC-USD,1637121871024,59085.17,0.0168463,59085.16,59085.17
BTC-USD,1637121871024,59085.17,0.00015,59085.16,59085.18
BTC-USD,1637121871024,59085.18,0.0168463,59085.16,59094.13
BTC-USD,1637121871024,59094.13,0.05250347,59085.16,59094.13
BTC-USD,1637121871236,59094.12,0.00072312,59094.12,59095.41
BTC-USD,1637121871831,59095.4,0.00025862,59095.39,59095.40
BTC-USD,1637121871904,59095.39,0.001692,59095.39,59095.40
BTC-USD,1637121871939,59095.4,0.00031172,59095.39,59095.40
BTC-USD,1637121872071,59095.4,0.01574117,59095.39,59095.40
BTC-USD,1637121872071,59095.4,0.02527893,59095.39,59095.41
BTC-USD,1637121872071,59095.41,0.01631151,59095.39,59103.38
BTC-USD,1637121872240,59106.79,0.09055,59103.37,59106.80
BTC-USD,1637121872240,59103.37,0.05,59099.61,59106.80
BTC-USD,1637121872240,59099.61,0.0702292,59099.60,59106.80
