price, date, volume, best_bid, best_ask
1637121161164, 59463.72,0.02923527,59463.72,59473.61
1637121161164, 59463.72,0.06664017,59463.72,59473.61
1637121161245, 59473.49,0.00080386,59467.61,59473.49
1637121161310, 59473.48,0.00008265,59473.48,59473.61
1637121161462, 59473.6,0.01648517,59469.73,59473.60
1637121161492, 59469.73,0.000217,59469.73,59473.47
1637121161661, 59469.73,0.00035816,59469.73,59473.51
1637121161774, 59473.24,0.00412455,59469.73,59473.24
1637121162221, 59468.67,0.000163,59468.67,59473.24
1637121162649, 59473.24,0.00080371,59468.67,59473.24
1637121162759, 59473.24,0.0082491,59468.67,59473.24
1637121163506, 59463.74,0.0021107,59463.73,59463.74
1637121163510, 59463.73,0.00167278,59463.73,59463.74
1637121164501, 59460.32,0.00082063,59456.19,59460.32
1637121164877, 59458.85,0.0329964,59456.19,59458.85
1637121164881, 59458.85,0.0082491,59456.19,59458.85
1637121164910, 59458.85,0.0000435,59456.19,59458.85
1637121165043, 59456.19,0.00004985,59456.19,59458.80
1637121165142, 59464.86,0.01237365,59462.45,59464.86
1637121165235, 59462.4,0.000758,59458.79,59462.40
1637121165354, 59462.56,0.02474211,59458.79,59462.56
1637121165484, 59458.79,0.00174494,59458.79,59463.26
1637121165551, 59462.45,0.00412455,59458.79,59462.45
1637121165574, 59463.25,0.00162434,59458.79,59463.25
1637121165586, 59463.25,0.00083875,59458.79,59463.25
1637121165745, 59458.79,0.000504,59458.79,59463.21
1637121165958, 59458.79,0.05073343,59458.79,59462.71
1637121166015, 59462.71,0.00016018,59458.79,59462.71
1637121166244, 59452.98,0.02721943,59452.98,59461.80
1637121166555, 59453.33,0.000155,59453.33,59461.51
1637121166602, 59461.47,0.00208343,59453.33,59461.47
1637121166632, 59461.47,0.00322038,59452.98,59461.47
1637121166923, 59461.3,0.00080388,59453.14,59461.30
1637121166976, 59461.3,0.00006714,59453.14,59461.30
1637121167000, 59461.3,0.01647249,59453.15,59461.30
1637121167058, 59461.3,0.00004736,59453.57,59461.30
1637121167130, 59461.3,0.00990237,59453.57,59461.30
1637121167252, 59461.3,0.00404893,59454.55,59461.30
1637121167252, 59461.3,0.01101788,59454.55,59461.30
1637121167252, 59461.3,0.00018021,59454.55,59462.89
1637121167252, 59462.89,0.04,59454.55,59462.90
1637121167252, 59462.9,0.02252764,59454.55,59462.90
1637121167353, 59463.26,0.00080388,59456.61,59463.26
1637121167492, 59464.12,0.00006714,59456.82,59464.12
1637121167683, 59464.12,0.00140437,59457.10,59464.12
1637121167696, 59464.18,0.00824259,59457.10,59464.18
1637121168018, 59464.14,0.00329874,59457.30,59464.14
1637121168047, 59464.47,0.001624,59457.32,59464.47
1637121168327, 59464.53,0.00174154,59461.05,59464.53
1637121168491, 59465.57,0.0839,59460.99,59465.58
1637121168491, 59460.99,0.08407768,59458.24,59465.58
1637121168491, 59458.24,0.25203928,59458.19,59465.58
1637121168491, 59458.19,0.14389119,59458.19,59465.58
1637121168761, 59465.58,0.01648502,59457.10,59465.58
1637121168839, 59465.58,0.00025099,59457.29,59465.58
1637121169046, 59466.78,0.00004192,59457.44,59466.78
1637121169291, 59462.5,0.00384916,59459.29,59462.50
1637121169354, 59460.78,0.00372091,59460.78,59462.50
1637121169582, 59462.5,0.00845049,59459.00,59462.50
1637121169755, 59462.5,0.00004945,59462.49,59462.50
1637121169759, 59462.49,0.000168,59462.49,59462.50
1637121170067, 59462.5,0.00005395,59462.49,59462.50
1637121171049, 59462.5,0.00167336,59462.49,59462.50
1637121171482, 59462.5,0.00006713,59462.49,59462.50
1637121171540, 59462.5,0.00039333,59462.49,59462.50
1637121172220, 59462.5,0.00081997,59462.49,59462.50
1637121172313, 59462.5,0.01315701,59462.49,59462.50
1637121172430, 59462.5,0.00494557,59462.49,59462.50
1637121172459, 59462.5,0.0164982,59462.49,59462.50
1637121172814, 59462.5,0.0032961,59462.49,59462.50
1637121172818, 59462.49,0.02644623,59462.49,59462.50
1637121172838, 59462.5,0.00162404,59462.49,59462.50
1637121173176, 59462.5,0.00030968,59462.49,59462.50
1637121173434, 59462.5,0.01112041,59462.49,59462.50
1637121173531, 59462.5,0.0032961,59462.49,59462.50
1637121174197, 59462.5,0.00139605,59462.49,59463.98
1637121174197, 59463.98,0.00637468,59462.49,59463.98
1637121174205, 59462.49,0.00042,59462.49,59463.98
1637121175003, 59463.98,0.01,59463.97,59463.98
1637121175078, 59463.97,0.00012984,59463.97,59463.98
1637121175129, 59463.98,0.00168588,59463.97,59463.98
1637121175268, 59463.98,0.00039352,59463.97,59463.98
1637121175280, 59463.98,0.01648715,59463.97,59463.98
1637121175455, 59463.98,0.00007133,59463.97,59463.98
1637121176248, 59463.98,0.00163845,59463.97,59463.98
1637121176378, 59463.98,0.00643543,59463.97,59463.98
1637121176515, 59463.98,0.04061356,59463.97,59470.60
1637121176515, 59470.6,0.02532654,59463.97,59470.60
1637121176927, 59470.61,0.00251673,59465.30,59470.61
1637121177032, 59470.6,0.00083991,59465.85,59470.60
1637121177344, 59470.61,0.00257947,59467.58,59470.61
1637121178187, 59463.99,0.000169,59463.99,59464.00
1637121178306, 59464,0.00321822,59463.99,59464.00
1637121178391, 59464,0.00080334,59463.99,59464.00
1637121179029, 59465.75,0.04591525,59464.01,59470.60
1637121179029, 59464.01,0.04,59464.00,59470.60
1637121179029, 59464,0.033264,59464.00,59470.60
1637121179029, 59464,0.88082075,59464.00,59470.60
1637121179130, 59470.42,0.00063601,59465.75,59470.42
1637121179175, 59470.43,0.00041801,59465.75,59470.43
1637121179366, 59470.61,0.00041828,59465.75,59470.61
1637121179693, 59470.61,0.03845677,59466.96,59470.61
1637121180841, 59465.76,0.04887745,59455.59,59465.76
1637121180853, 59461.97,0.00346102,59455.88,59461.97
1637121181018, 59461.97,0.00006709,59457.37,59461.97
1637121181088, 59461.97,0.00162324,59457.37,59461.97
1637121181588, 59461.91,0.0082491,59457.37,59461.91
1637121181611, 59461.91,0.00080334,59457.37,59461.91
1637121182018, 59461.86,0.03222203,59457.46,59461.97
1637121182018, 59461.97,0.03372657,59457.46,59461.97
1637121182070, 59461.97,0.00011988,59458.22,59461.97
1637121182112, 59461.97,0.00321822,59458.22,59461.97
1637121182208, 59457.48,0.000067,59457.48,59461.93
1637121182265, 59461.93,0.00167338,59457.50,59461.93
1637121182321, 59461.19,0.00160902,59461.18,59461.19
1637121182330, 59461.19,0.0004687,59461.18,59461.19
1637121182360, 59461.97,0.00063594,59461.18,59461.97
1637121182624, 59461.22,0.03681036,59461.19,59466.16
1637121182624, 59461.19,0.00284096,59461.19,59466.16
1637121182809, 59466.16,0.0042044,59461.18,59466.16
1637121182959, 59465.78,0.00015083,59461.18,59465.78
1637121183051, 59461.18,0.00084,59461.18,59465.44
1637121183063, 59465.44,0.00083672,59461.18,59465.44
1637121183507, 59461.18,0.00028957,59461.18,59464.64
1637121183510, 59461.18,0.00068798,59460.32,59464.64
1637121183510, 59460.32,0.00030318,59460.32,59464.64
1637121183934, 59464.08,0.00250998,59460.32,59464.08
1637121184271, 59464.08,0.01694044,59460.32,59464.70
1637121184271, 59464.7,0.02997211,59460.32,59465.25
1637121184271, 59465.25,0.03552463,59460.32,59465.25
1637121184747, 59466.15,0.00015083,59460.87,59466.15
1637121184996, 59460.75,0.00584,59460.75,59460.76
1637121185012, 59460.75,0.02716,59460.32,59460.76
1637121185012, 59460.32,0.00505196,59454.23,59460.76
1637121185070, 59457.67,0.00015075,59448.05,59457.67
1637121185155, 59448.06,0.00989226,59448.05,59448.06
1637121185499, 59442.92,0.00321794,59440.62,59442.92
